2011
January,22.4(10.3, 8.1),24.8(5.4, 4.3),249.58
February,28.7(12.7, 10.1),27.0(4.8, 3.9),216.32
March,22.7(10.6, 8.4),24.5(4.7, 3.9),215.98
April,20.7(11.6, 9.2),20.6(5.0, 3.9),153.30
May,17.3(10.7, 8.6),16.8(4.6, 3.7),117.75
June,20.3(11.7, 9.3),14.7(3.4, 2.7),83.22
July,19.9(13.4, 10.4),13.0(3.9, 3.1),81.14
August,18.7(13.7, 11.1),14.3(4.2, 3.4),133.25
September,18.6(12.5, 9.9),14.6(3.9, 3.2),155.67
October,19.2(11.7, 9.3),18.0(4.3, 3.4),192.06
November,22.9(11.0, 8.6),19.7(4.6, 3.5),219.44
December,23.2(10.6, 8.4),23.3(4.8, 3.9),239.75
